fare_id,route_id,origin_id,destination_id,contains_id
a,1,,,
a,2,,,
a,3,,,
a,4,,,
a,5,,,
a,6,,,
a,7,,,
a,10,,,
a,17,,,
a,18,,,
a,19,,,
a,20,,,
a,30,,,
a,50,,,
a,51,,,
a,103,,,
a,105,,,
a,111,,,
a,135,,,
a,142,,,
a,150,,,
a,152,,,
a,171,,,
a,201,,,
a,214,,,
a,217,,,
a,228,,,
a,233,,,
a,237,,,
a,243,,,
a,271,,,
a,300,,,
a,310,,,
a,311,,,
a,315,,,
a,318,,,
a,322,,,
a,323,,,
a,324,,,
a,325,,,
a,333,,,
a,335,,,
a,337,,,
a,339,,,
a,345,,,
a,350,,,
a,383,,,
a,392,,,
a,465,,,
a,466,,,
a,490,,,
a,491,,,
a,492,,,
a,493,,,
a,640,,,
a,641,,,
a,642,,,
a,656,,,
a,661,,,
a,663,,,
a,670,,,
a,671,,,
a,672,,,
a,801,,,
a,803,,,
b,550,,,
b,935,,,
b,982,,,
b,985,,,
b,990,,,
